Unnamed: 0	Skupina: RIT 2 UN Erasmus., RIT 2 UN - UP2, RIT 2 UN - UP2 RV 1, RIT 	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Zadnja sprememba: 05.03.2024 13:48	Unnamed: 9
	Četrtek	14.03.2024	10:00-13:00	(RU) F-104	RV UVOD V RAČUNALNIŠKO GEOMETRIJO		RIT 2 UN - UP2 RV 2		ALJAŽ JEROMEL
	Četrtek	14.03.2024	13:00-15:00	G2-P01, pritličje	PR SIGNALI IN SLIKE		RIT 2 UN - UP2		ALEŠ HOLOBAR
	Četrtek	14.03.2024	15:00-18:00	(RU) E-110	RV SISTEMSKA PROGRAMSKA OPREMA		RIT 2 UN - UP2 RV 3		MATEJ KRAMBERGER
	Četrtek	14.03.2024	18:00-21:00	(RU) E-110	RV SISTEMSKA PROGRAMSKA OPREMA		RIT 2 UN - UP2 RV 2		MATEJ KRAMBERGER
	Petek	15.03.2024	09:00-11:00	G2-P2 BETA, pritličje	PR UVOD V RAČUNALNIŠKO GEOMETRIJO		RIT 2 UN - UP2		BORUT ŽALIK
	Petek	15.03.2024	14:00-17:00	G3-amfiteater Gauss, klet	RV UMETNA INTELIGENCA		RIT 2 UN - UP2 RV 2		MLADEN BOROVIČ
	Ponedeljek	18.03.2024	09:00-12:00	(RU) F-104	RV SIGNALI IN SLIKE		RIT 2 UN - UP2 RV 1		MATJAŽ DIVJAK
	Ponedeljek	18.03.2024	12:00-15:00	(RU) F-104	RV SIGNALI IN SLIKE		RIT 2 UN - UP2 RV 3		MATJAŽ DIVJAK, LEON KUTOŠ
	Ponedeljek	18.03.2024	17:00-20:00	(RU) E-110	RV UVOD V RAČUNALNIŠKO GEOMETRIJO		RIT 2 UN - UP2 RV 3		ALJAŽ JEROMEL
	Torek	19.03.2024	08:00-11:00	G2-P06, pritličje	RV UVOD V RAČUNALNIŠKO GEOMETRIJO		RIT 2 UN - UP2 RV 1		ALJAŽ JEROMEL
	Torek	19.03.2024	11:00-13:00	G2-P2 BETA, pritličje	PR UMETNA INTELIGENCA		RIT 2 UN - UP2, RIT 3 UN		DAMJAN STRNAD
	Torek	19.03.2024	14:00-17:00	G3-diplomska soba FERI, 1. nad.	RV UVOD V RAČUNALNIŠKO GEOMETRIJO		RIT 2 UN - UP2 RV 2		ALJAŽ JEROMEL
	Sreda	20.03.2024	10:00-12:00	G2-P2 BETA, pritličje	PR SISTEMSKA PROGRAMSKA OPREMA		RIT 2 UN - UP2		ALEŠ HOLOBAR
	Sreda	20.03.2024	12:00-15:00	(RU) E-110	RV SISTEMSKA PROGRAMSKA OPREMA		RIT 2 UN - UP2 RV 1		MATJAŽ DIVJAK
	Sreda	20.03.2024	12:00-15:00	(RU) F-104	RV SIGNALI IN SLIKE		RIT 2 UN - UP2 RV 2		LEON KUTOŠ
	Sreda	20.03.2024	15:00-18:00	(RU) F-103/a	RV UMETNA INTELIGENCA		RIT 2 UN - UP2 RV 1		MLADEN BOROVIČ
	Sreda	20.03.2024	15:00-18:00	(RU) F-103/b	RV UMETNA INTELIGENCA		RIT 2 UN - UP2 RV 3, RIT 3 UN RV 1		. DEMONSTRATOR
	Četrtek	21.03.2024	07:00-10:00	(RU) F-104	RV UVOD V RAČUNALNIŠKO GEOMETRIJO		RIT 2 UN - UP2 RV 1		ALJAŽ JEROMEL
	Četrtek	21.03.2024	10:00-13:00	(RU) F-104	RV UVOD V RAČUNALNIŠKO GEOMETRIJO		RIT 2 UN - UP2 RV 2		ALJAŽ JEROMEL
	Četrtek	21.03.2024	13:00-15:00	G2-P01, pritličje	PR SIGNALI IN SLIKE		RIT 2 UN - UP2		ALEŠ HOLOBAR
	Četrtek	21.03.2024	15:00-18:00	(RU) E-110	RV SISTEMSKA PROGRAMSKA OPREMA		RIT 2 UN - UP2 RV 3		MATEJ KRAMBERGER
	Četrtek	21.03.2024	18:00-21:00	(RU) E-110	RV SISTEMSKA PROGRAMSKA OPREMA		RIT 2 UN - UP2 RV 2		MATEJ KRAMBERGER
	Petek	22.03.2024	09:00-11:00	G2-P2 BETA, pritličje	PR UVOD V RAČUNALNIŠKO GEOMETRIJO		RIT 2 UN - UP2		BORUT ŽALIK
	Petek	22.03.2024	14:00-17:00	G3-amfiteater Gauss, klet	RV UMETNA INTELIGENCA		RIT 2 UN - UP2 RV 2		MLADEN BOROVIČ
	Ponedeljek	25.03.2024	09:00-12:00	(RU) F-104	RV SIGNALI IN SLIKE		RIT 2 UN - UP2 RV 1		MATJAŽ DIVJAK
	Ponedeljek	25.03.2024	12:00-15:00	(RU) F-104	RV SIGNALI IN SLIKE		RIT 2 UN - UP2 RV 3		MATJAŽ DIVJAK, LEON KUTOŠ
	Ponedeljek	25.03.2024	17:00-20:00	(RU) E-110	RV UVOD V RAČUNALNIŠKO GEOMETRIJO		RIT 2 UN - UP2 RV 3		ALJAŽ JEROMEL
	Torek	26.03.2024	11:00-13:00	G2-P2 BETA, pritličje	PR UMETNA INTELIGENCA		RIT 2 UN - UP2, RIT 3 UN		DAMJAN STRNAD
